流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,快递单号,日期控件:收件日期,日期控件:立案日期,委托人,案件号,承办法人,确定机构方式,鉴定类别,日期控件:确定机构时间,原告/申请人,被告/被申请人,项目信息汇总表,操作
819,收到委托书,23-23-收到委托书（2026年06月12日12:21）系统管理员,综合办,系统管理员,2026-06-12 12:21:41,,,执行中,123213,2026-06-02,2026-06-12,23,23,23,,23,2026-06-12,23,32,api-ms-win-core-datetime-l1-1-0.dll*,流程图 点评 更多 催办 关注 结束 删除
818,收到委托书,2-2-收到委托书（2026年06月12日12:20）系统管理员,综合办,系统管理员,2026-06-12 12:20:08,,,执行中,123,2026-06-12,2026-06-12,2,2,2,,2,2026-06-03,2,2,BaiduNetdisk.exe*,流程图 点评 更多 催办 关注 结束 删除
815,收到委托书,{案件号}|[1]-{委托人}|[1]-收到委托书（2026年06月10日20:15）项目负责人,研发部,项目负责人,2026-06-10 20:15:47,,,执行中,,,,,,,,,,,,,流程图 点评 更多 催办 关注 结束 删除
814,收到委托书,qe-我去额外企鹅-收到委托书（2026年06月10日20:14）项目负责人,研发部,项目负责人,2026-06-10 20:14:56,,,执行中,123123123,2026-06-10,2026-06-10,我去额外企鹅,qe,erq,,多少啊,2026-06-10,大师傅,王企鹅,（2025）京民初4476号-某某法院-不予受理（2025年10月14日1635）项目负责人.html*,流程图 点评 更多 催办 关注 结束 删除
810,收到委托书,00-00-收到委托书（2026年03月03日13:52）档案管理员,研发部,档案管理员,2026-03-03 13:52:13,,,执行中,00,2026-03-03,2026-03-03,00,00,00,,00,2026-03-03,00,00,新建 Microsoft Word 文档.docx*,流程图 点评 更多 催办 关注 结束 删除
800,收到委托书,1111-111-收到委托书（2026年02月28日14:25）档案管理员,研发部,档案管理员,2026-02-28 14:25:13,2026-03-03 13:44:49,,已结束,sf11111,2026-02-28,2026-02-28,111,1111,111,,111,2026-02-28,111,111,司法鉴定系统使用手册0208.docx*,流程图 点评 更多 恢复执行 编辑 删除
799,收到委托书,123-123-收到委托书（2026年02月27日16:08）档案管理员,研发部,档案管理员,2026-02-27 16:08:56,,,执行中,123123,2026-02-27,2026-02-27,123,123,123,,123,2026-02-27,123,123,新建 Microsoft Word 文档.pdf*,流程图 点评 更多 催办 关注 结束 删除
797,收到委托书,ad-as-收到委托书（2026年02月27日15:55）项目负责人,研发部,项目负责人,2026-02-27 15:55:43,,,执行中,sf1212,2026-02-27,2026-02-27,as,ad,sf,,ads,2026-02-27,ad,ad,测试结果 - 张正阳.docx*,流程图 点评 更多 催办 关注 结束 删除
792,收到委托书,诉（2025）-某某法院-收到委托书（2026年02月27日09:36）档案管理员,研发部,档案管理员,2026-02-27 09:36:49,,,执行中,SF12222,2026-02-27,2026-02-26,某某法院,诉（2025）,张三,,工程质量鉴定,2026-02-27,某某有限公司,某某,新建 Microsoft Word 文档.docx*,流程图 点评 更多 催办 关注 结束 删除
788,收到委托书,诉（2025）-某某法院-收到委托书（2026年02月26日17:02）档案管理员,研发部,档案管理员,2026-02-26 17:02:05,,,执行中,SF1231313213,2026-02-26,2026-02-26,某某法院,诉（2025）,张三,,工程造价,2026-02-26,王武,李四,测试结果 - 张正阳.docx*,流程图 点评 更多 催办 关注 结束 删除
