流水号,流程类型,工作名称/文号,发起部门,发起人,开始时间,结束时间,公共附件,状态,快递单号,收件日期,立案日期,委托人,案件号,承办法人,确定机构方式,鉴定类别,确定机构时间,原告/申请人,被告/被申请人,鉴定事项,操作
809,归档,--归档（2026年03月03日13:42）档案管理员,研发部,档案管理员,2026-03-03 13:42:01,2026-03-03 13:44:49,,已结束,,,,,,,,,,,,,流程图 点评 更多 恢复执行 编辑 删除
795,归档,诉（2025）-某某法院-归档（2026年02月27日14:15）档案管理员,研发部,档案管理员,2026-02-27 14:15:17,2026-02-27 16:08:40,,已结束,SF1231313213,2026-02-26,2026-02-26,某某法院,诉（2025）,张三,,工程造价,2026-02-26,王武,李四,鉴定事项1,流程图 点评 更多 恢复执行 编辑 删除
779,归档,--归档（2026年02月08日10:53）档案管理员,研发部,档案管理员,2026-02-08 10:53:33,,,执行中,,,,,,,,,,,,,流程图 点评 更多 催办 关注 结束 删除
746,归档,--归档（2026年01月22日11:15）档案管理员,研发部,档案管理员,2026-01-22 11:15:34,2026-01-22 11:36:17,,已结束,,,,,,,,,,,,,流程图 点评 更多 恢复执行 编辑 删除
717,归档,--归档（2025年12月14日20:45）档案管理员,研发部,档案管理员,2025-12-14 20:45:56,,,执行中,,,,,,,,,,,,,流程图 点评 更多 催办 关注 结束 删除
716,归档,--归档（2025年12月14日20:44）档案管理员,研发部,档案管理员,2025-12-14 20:44:49,,,执行中,,,,,,,,,,,,,流程图 点评 更多 催办 关注 结束 删除
715,归档,--归档（2025年12月14日20:42）档案管理员,研发部,档案管理员,2025-12-14 20:42:46,,,执行中,,,,,,,,,,,,,流程图 点评 更多 催办 关注 结束 删除
662,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月30日21:42）档案管理员,研发部,档案管理员,2025-10-30 21:42:01,,,执行中,SF122222asas,2025-10-07,2025-10-07,张三3,,张三2,确定机构方式,类别,2025-10-15,张三3,张三3,张三3张三3,流程图 点评 更多 催办 关注 结束 删除
655,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月29日23:01）档案管理员,研发部,档案管理员,2025-10-29 23:01:06,,,执行中,SF122222,2025-10-07,2025-10-08,张三2,123,张三2,确定机构方式,类别,2025-09-30,张三2,张三2,张三2,流程图 点评 更多 催办 关注 结束 删除
648,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月29日22:22）档案管理员,研发部,档案管理员,2025-10-29 22:22:05,,,执行中,,,,,,,,,,,,,流程图 点评 更多 催办 关注 结束 删除
644,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月22日21:26）档案管理员,研发部,档案管理员,2025-10-22 21:26:42,2025-10-22 21:33:46,,已结束,SF111111111,2025-10-22,2025-10-22,张三1,,张三1,确定机构方式,类别,2025-10-22,张三1,张三1,111,流程图 点评 更多 恢复执行 编辑 删除
629,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月16日16:44）档案管理员,研发部,档案管理员,2025-10-16 16:44:20,2025-10-16 16:47:15,,已结束,,,,,,,,,,,,,流程图 点评 更多 恢复执行 编辑 删除
619,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月16日15:51）档案管理员,研发部,档案管理员,2025-10-16 15:51:36,2025-10-16 15:52:42,,已结束,SF1212212,2025-10-16,2025-10-16,某某法院,（2025）京民初 4455号,承办人,机构确定方式1,工程质量+造价+修复方案,2025-10-16,张三,李四,鉴定事项1,流程图 点评 更多 恢复执行 编辑 删除
615,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月16日15:39）档案管理员,研发部,档案管理员,2025-10-16 15:39:38,2025-10-16 15:43:39,,已结束,SF1212212,2025-10-16,2025-10-16,某某法院,（2025）京民初 4455号,承办人,机构确定方式1,工程质量+造价+修复方案,2025-10-16,张三,李四,鉴定事项1,流程图 点评 更多 恢复执行 编辑 删除
604,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月16日10:45）档案管理员,研发部,档案管理员,2025-10-16 10:45:00,2025-10-16 10:51:44,,已结束,SF1212212,2025-10-15,2025-10-15,某某法院,（2025）京民初 4455号,承办人,机构确定方式1,工程质量,2025-10-15,张三,李四,鉴定事项1,流程图 点评 更多 恢复执行 编辑 删除
565,归档,{案件号}|[2]-{委托人}|[2]-归档（2025年10月15日11:28）档案管理员,研发部,档案管理员,2025-10-15 11:28:58,2025-10-15 13:44:12,,已结束,SF1212212,2025-10-14,2025-10-14,某某法院,（2025）京民初 4476号,承办人,机构确定方式1,工程造价,2025-10-14,张三,王五,鉴定事项2,流程图 点评 更多 恢复执行 编辑 删除
545,归档,案件号2-委托人2-归档（2025年10月12日22:34）档案管理员,研发部,档案管理员,2025-10-12 22:34:58,2025-10-12 22:35:52,,已结束,SF111111111,2025-10-10,2025-10-10,委托人2,案件号2,承办法人2,确定机构方式2,鉴定类别2,2025-10-12,原告/申请人2,被告/被申请人2,鉴定事项2,流程图 点评 更多 恢复执行 编辑 删除
532,归档,归档（2025年10月12日21:59）档案管理员,研发部,档案管理员,2025-10-12 21:59:57,2025-10-12 22:00:33,,已结束,,,,,,,,,,,,,流程图 点评 更多 恢复执行 编辑 删除
